date,North,Yorkshire_and_the_Humber,North_West,East_Midlands,West_Midlands,East_Anglia,Outer_South_East,Outer_Metropolitan,London,South_West,Wales,Scotland,Northern_Ireland,UK_Total
1973-10-01,16.88232475057727,19.38397523722535,15.520149953139644,19.0500206317913,18.005645838101778,19.755013810495974,20.034222158847854,18.561551072777817,19.190596451844232,17.801198819289763,18.489299762216937,17.099430018999367,22.99985045610887,19.484869703449974
1974-01-01,16.947675685095632,19.61232049525549,15.76382380506092,19.508504882857277,18.50156404974441,19.775029022056763,20.21246256951376,18.590063440017108,19.377669691017367,18.38068850618424,19.11153581190693,17.310534093308,24.285927919844475,19.80469711019852
1974-04-01,16.925892040256176,19.967524229969044,15.895032802249297,19.85236807115676,18.673228046082247,19.915135502982267,19.962925994581493,18.73262527621356,19.79858447915693,18.67043334963148,19.44487655281228,17.48325560865143,24.465380589202933,20.00340644575235
1974-07-01,17.209079423169086,20.525701527376057,15.820056232427367,19.646050158177065,18.863965819790952,20.115287618590127,20.28375873378012,18.98923658136717,19.829763352352447,19.195595878379603,19.667103713415848,18.15495039054253,25.18319126663676,20.243750118279365
1974-10-01,17.36156493704527,20.576444918049425,16.11996251171509,19.62312594562377,18.863965819790952,20.575637484488208,20.26593469271353,18.889443296029647,19.75181616936364,19.63021314355046,20.17822618280406,18.500393421229397,26.31972483924032,20.362975719611665
1975-01-01,17.840805123513267,20.982392043436345,16.457357075913777,19.76067122094356,19.37895780880445,20.7357591769745,20.44417510337944,19.160310784802903,20.07919433791663,19.90184893428225,20.40045334340763,18.960984128811862,26.917900403768503,20.722544993470976
1975-04-01,18.75571820677036,22.073374942913684,16.83223992502343,20.65471551052221,19.855802243076216,20.955926504143147,20.96107229431057,19.759070496828,20.64041405543604,20.336466199453103,20.9337985288562,20.093269618285447,28.503065649768207,21.40194167407884
1975-07-01,19.605280355509084,22.682295630994066,17.16963448922212,20.8610334235019,20.29449912260624,20.93591129258236,21.35320119777556,20.486135861429894,20.952202787391265,20.553774832038535,21.22269383764084,21.18717254879383,30.59668012561687,21.899661247894628
1975-10-01,20.367707924889995,23.367331405084485,17.656982193064668,21.45706294988767,20.790417334248875,21.616428485649088,21.70968201910737,20.970846104497824,21.435475321921867,20.988392097209395,21.95604346763261,22.338649317750008,33.34828772244654,22.51849889290513
1976-01-01,20.846948111357992,23.90013700715481,17.994376757263357,21.70922928797396,19.130998702983135,21.916656659060884,22.083986881505776,21.21320122603179,21.93433729305023,21.24191883522573,22.733838529745103,23.566891204636608,34.90354419021983,22.978369069472567
1976-04-01,21.413322877183813,24.382199218551783,18.331771321462043,22.167713539039934,21.36263065537499,22.19686962091189,22.297875374304866,21.66939910186043,22.199357715212173,21.53166367867297,23.26718371519367,24.449690060836357,36.93734110961567,23.41742207755341
1976-07-01,21.97969764300963,25.16872177398893,18.80037488284911,22.53450093989272,21.7441062027924,22.59717385212761,22.761300442036216,22.225390263026583,22.417609827580836,21.98438999655928,23.55607902397831,25.21734124014048,38.97113802901151,23.935958819855795
1976-10-01,22.981745305624536,25.752270766732632,19.36269915651359,23.03883361606529,22.201876859693293,23.0575237180257,22.86824468843576,22.424976833701617,22.698219686340536,22.093044312851998,24.04497877730616,25.71631450668816,40.167489158067895,24.356087129312467
1977-01-01,23.482769136931992,26.082102806109503,19.943767572633558,23.26807574159828,22.54520485236896,23.077538929586485,23.189077427634395,22.553282486278423,23.29061827705547,22.52766157802285,24.42276495033223,26.061757537375016,41.42365784357709,24.755398270282544
1977-04-01,24.288763995991808,26.614908408179836,20.599812558575447,23.97872633075054,23.19371328297856,23.637964853288494,23.61685441323257,22.93819944400884,23.493280952826368,23.01660600134007,24.756105691237583,26.618304642370504,43.57708987587857,25.313676879695688
1977-07-01,24.81157147213872,27.14771401025016,21.14339268978444,24.32258951905002,23.82314793621729,24.31848204635523,24.18722372736347,23.47993442155535,23.75830137498831,23.324459897502763,25.422787173048288,27.481912219087643,45.28189023478391,25.87384795897125
1977-10-01,25.029407920533263,28.28944030040087,21.46204311152765,24.52890743202971,23.8803692683299,24.758816700692524,24.686296877228006,23.63675244137144,24.31952109250772,23.650422846380906,25.578346185470785,27.44352966012244,45.5510692388216,26.23341723283057
1978-01-01,26.031455583148176,29.20282133252144,22.66166822867854,25.743890697354544,25.234607461661707,25.819622913414197,25.80921146442321,24.948321334378782,25.862875315686093,24.82751127288532,26.756150136669703,28.729345385456845,48.18304172274562,27.56950095569728
1978-04-01,27.25133969415763,30.344547622672145,23.505154639175256,26.385768648846916,25.959411001754788,26.660261798967213,27.1638385854841,26.70183191959512,27.499766158451035,26.33056264826787,27.77839507544612,29.76567447751741,51.65245999700912,28.907477148426413
1978-07-01,28.819762122598355,32.34891155427005,25.304592314901598,28.563568841410294,28.801403830014497,29.282254513430207,30.10480536147156,30.151828355549217,30.7423689707854,28.757175712138498,30.600680015111447,31.703993705260327,56.64722596081951,31.742397002327735
1978-10-01,29.974295299089444,33.51600953975744,27.066541705716965,30.351657420567605,30.708781567101543,30.56322805332052,32.136746043062885,32.304512082115615,32.45720699653915,30.495644772821933,32.089601991155355,32.7787053562861,57.245401525347695,33.55916807024848
1979-01-01,31.1941794100989,34.86070939260161,28.847235238987817,31.864655449085323,32.13931486991684,32.6247948440815,34.29345501212035,33.772898994939055,35.09182178156082,32.37898625522899,34.04520100446676,34.467537950755165,59.84746523104531,35.495164739501526
1979-04-01,32.91508735241581,36.76358654285279,30.85285848172446,34.478015680161384,33.66521705958648,35.426924462591565,36.877940966775995,35.996863639603674,38.708571072241455,34.87803552996143,36.88970866019245,35.887692632467804,62.808434275459845,38.05189152362749
